"???","???????","??????????","?????????????","???????","????????","???????????","???????°æ??????","???????¢¨?","????????????","????????¢¨?","???????","???????????","???????????","????????","?????????","??????????","?????????????","????????????","???•Ë???????","???•Ë????????","??????","????????????","????????????","?????????????","???°æ??¨⁄?","???????(x)","???????(y)","????????????","??????????¨⁄?","???????¨⁄?","??????","???????","???????????","????????","????î≥??","????????","????????","?????","????????","?????????","??????????","?????????","???????","????????","???????","?®˘???","????????","?????????????•Ô?","???????","???????????","????????","?????????","???????????","?????????","?????????","????????????????","?????????????????","?????","???????????","????????????","?•‰???????","??????",
"12","????????","03_11_02_P","4510000","CDFI3261092017000001","2017-08-07","","03","???","03","???","2019-01-09","","","","","","","??????? ????? ???¯™ 2305-2????","??????? ????? ????2?? 6 (???¯™)","33488","???? ???","2019-01-09 15:10:21","U","2019-01-11 02:40:00","","156505.115193044","312344.329125249","????????","","????????","3","???","","","??????","3","0","","","Ddobaki Pension","Tourism Pension","","","","","","","","133.2","","","","","","","","","800000000","","","","133",
"13","????????","03_11_02_P","4610000","CDFI3261092012000001","2012-11-01","","03","???","03","???","2013-09-30","","","","","","340-924","??????? ???∞  ????? ?œΩ?? 108-2????","","","?????????","2013-10-01 10:26:20","I","2018-08-31 23:59:59","","169265.967865081","355167.423545022","????????","","????????","2","","","","","","","","","CHOCOLATELOVE","Tourism Pension","","","","","","","","","","","","","","","","","","","","","",
"14","????????","03_11_02_P","4620000","CDFI3261092007000001","2007-10-11","","03","???","03","???","","","","","041-673-5513","","357-971","??????? ?®˙?? ?????? ?????? 486-4????","??????? ?®˙?? ?????? ??????? 47-71","","?????? ????","2015-05-21 17:51:07","I","2018-08-31 23:59:59","","147306.499742432","323291.406067209","????????","","????????","2","???","","","??????","2","","","","Atlantic Ocean","tourist pension","","","","","","","","640.19","","","","","","","","","","","","","640",
"15","????????","03_11_02_P","4620000","CDFI3261092007000003","2007-02-27","","03","???","03","???","2014-12-09","","","","","","357-952","??????? ?®˙?? ???? ???? 1232-33????","","","???","2014-12-10 11:20:55","I","2018-08-31 23:59:59","","137901.801470385","349037.221544759","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"16","????????","03_11_02_P","4600000","CDFI3261092011000001","2011-08-12","","03","???","03","???","2020-01-28","","","","041-632-8697","","350-861","??????? ????? ???•Ë? ???ıÍ 384-3????","??????? ????? ???•Ë? ???????264???? 41","32206","???? ?•Â? ???","2020-01-28 11:55:08","U","2020-01-30 02:40:00","","153049.29462561","338300.934436642","????????","","????????","1","","","","???????","1","","","","The Namdang Broom tree Pension","Tourism Service Faclities","","","","","","","","247.92","","","","","","","","","","","","","248",
"17","????????","03_11_02_P","4620000","CDFI3261092008000005","2008-12-23","","03","???","03","???","2022-11-11","","","","","","","??????? ?®˙?? ????? ??Ér 87-54","??????? ?®˙?? ????? ??????? 438-8","32111","???","2023-01-19 10:35:47","U","2023-01-21 02:40:00","","138681.251029407","370316.06667656","????????","","????????","3","","","","??????","2","1","","","","","","","","","","","","709.78","","","","","","","","","","","","","710",
"18","????????","03_11_02_P","4620000","CDFI3261092008000007","2008-09-17","","03","???","03","???","2020-11-05","","","","","","","??????? ?®˙?? ???? ???Ér 680-2","??????? ?®˙?? ???? ????? 494-8","32152","?????????","2021-01-04 14:36:25","U","2021-01-06 02:40:00","","134851.72206859","352748.472934091","????????","","????????","2","","","","??????","2","","","","","","","","","","","","","569.82","","","","","","","","","","","","","570",
"19","????????","03_11_02_P","4620000","CDFI3261092009000001","2009-01-16","","03","???","03","???","2017-01-13","","","","","","","??????? ?®˙?? ???? ??¢¨? 833-109????","??????? ?®˙?? ???? ?????? 236-70","32158","??? ?????","2017-01-16 13:26:23","I","2018-08-31 23:59:59","","136380.962921811","344269.100180852","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20","????????","03_11_02_P","4620000","CDFI3261092009000003","2009-05-14","","03","???","03","???","2017-03-31","","","","","","","??????? ?®˙?? ???? ????? 558-4????","??????? ?®˙?? ???? ???? 107","32157","??????","2017-03-31 17:44:11","I","2018-08-31 23:59:59","","137625.768234488","348509.929043219","????????","","????????","3","","","","??????","3","","","","","","","","","","","","","394.08","","","","","","","","","","","","","394",
"21","????????","03_11_02_P","4620000","CDFI3261092009000004","2009-01-16","","03","???","03","???","2017-09-18","","","","041-675-6300","","","??????? ?®˙?? ???? ??¢¨? 833-170????","??????? ?®˙?? ???? ?????? 236-72 (?????????)","32158","?????????","2017-09-18 15:52:47","I","2018-08-31 23:59:59","","136380.024439017","344213.438464085","????????","","????????","3","","","","??????","3","","","","","","","","","","","","","755.82","","","","","","","","","","","","","756",
"22","????????","03_11_02_P","4620000","CDFI3261092010000002","2010-06-08","","03","???","03","???","2019-05-16","","","","","","357-952","??????? ?®˙?? ???? ???? 1230-33????","??????? ?®˙?? ???? ?????? 76-5","","??????","2019-05-20 09:24:48","U","2019-05-22 02:40:00","","137597.205016617","349103.046138088","????????","","???????????","2","???","","","??????","2","0","","","","","","","","","","","","360.09","","","","","","","","","1000000000","","","","360",
"23","????????","03_11_02_P","4620000","CDFI3261092007000004","2007-02-27","","03","???","03","???","2014-12-09","","","","","","357-952","??????? ?®˙?? ???? ???? 1232-7????","??????? ?®˙?? ???? ????? 1308","357-952","???Ég","2014-12-10 11:41:54","I","2018-08-31 23:59:59","","137852.252970892","349061.626802529","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"24","????????","03_11_02_P","4620000","CDFI3261092017000011","2017-08-28","","03","???","03","???","2019-05-16","","","","","","","??????? ?®˙?? ???? ???? 1230-28????","??????? ?®˙?? ???? ?????? 84-0","32155","??????","2019-05-20 09:25:02","U","2019-05-22 02:40:00","","137548.894216635","349159.989878746","????????","","","3","","","","??????","3","1","","","","","","","","","","","","884.88","","","","","","","","","","","","","885",
"25","????????","03_11_02_P","4620000","CDFI3261092018000002","2018-05-27","","03","???","03","???","2020-02-10","","","","","","","??????? ?®˙?? ?????? ?????? 829????","??????? ?®˙?? ?????? ?????? 147-102","32172","?????????","2020-02-11 11:07:47","U","2020-02-13 02:40:00","","146483.691413425","323745.618202832","????????","","????????","3","???","","","??????","2","1","","","","","","","","","","","","281.62","","","","","","","","","","","","","282",
"26","????????","03_11_02_P","4620000","CDFI3261092012000005","2012-06-12","","03","???","03","???","2019-04-11","","","","","","","??????? ?®˙?? ???? ??Ér 319-23???? ??????","??????? ?®˙?? ???? ????? 1110-30","32154","???????≤J","2019-04-11 18:23:02","U","2019-04-13 02:40:00","","138056.056992317","350795.722553127","????????","","????????","","???","","","??????","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","????????","03_11_02_P","4620000","CDFI3261092010000009","2010-09-01","","03","???","03","???","2014-12-11","","","","041-675-6567","","357-952","??????? ?®˙?? ???? ???? 1230-14????","","","????","2014-12-15 13:39:14","I","2018-08-31 23:59:59","","137508.920411823","349318.174968711","????????","","","3","???","","","??????","3","","","","","","","","","","","","","790.78","","","","","","","","","800000000","","","","791",
"28","????????","03_11_02_P","4620000","CDFI3261092010000010","2010-10-15","","03","???","03","???","2014-09-16","","","","041-675-5890","","357-953","??????? ?®˙?? ???? ??¢¨? 323-9????","??????? ?®˙?? ???? ???????? 104-108","","????????","2017-03-13 09:21:17","I","2018-08-31 23:59:59","","137684.099059956","347008.85469803","????????","","????????","1","???","","","??????","1","","","","","","","","","","","","","149.04","","","","","","","","","150000000","","","","149",
"29","????????","03_11_02_P","4620000","CDFI3261092011000003","2011-09-07","","03","???","03","???","2021-02-01","","","","041-675-0059","","","??????? ?®˙?? ???? ????? 512-135","??????? ?®˙?? ???? ?????? 57-60","32157","???????","2021-02-02 17:29:56","U","2021-02-04 02:40:00","","137477.731736819","348607.251074244","????????","","","4","???","","","??????","3","1","","","","","","","","","","","","813.39","","","","","","","","","","","","","813",
"30","????????","03_11_02_P","3570000","CDFI3261092018000003","2018-12-27","","03","???","03","???","2019-11-19","","","","","","","????????? ????? ?????? ?????? 479-1????","????????? ????? ?????? ????????? 86-26, ???•Â????","23014","???•Â????","2019-11-20 10:07:28","U","2019-11-22 02:40:00","","149875.742907193","475238.752665112","????????","","","2","","","","???????","2","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"31","????????","03_11_02_P","5370000","CDFI3261092019000001","2019-01-25","","03","???","03","???","2019-12-24","","","","","","","???? ?????? ???•Ë? ?¨÷??? 123-5????","???? ?????? ???•Ë? ????2?? 11-8","53332","?????•Í??????","2019-12-24 09:55:08","U","2019-12-26 02:40:00","","351324.535151759","143512.87238269","????????","","????????????","1","???","","","???????","1","0","","","","","","","","","","","","224.01","","","","","","","","","100000000","","","","224",
"32","????????","03_11_02_P","5050000","CDFI3261092004000001","2004-10-27","","03","???","03","???","2017-09-07","","","","775-7750","","","????? ????? ?????? ?????? 549-1???? 2??","????? ????? ?????? ?????? 93","38125","?????????????","2017-09-08 09:15:54","I","2018-08-31 23:59:59","","426047.060707921","258737.579626383","????????","???????","??????????","2","","","","??????? ????(????????????)","2","","","","","","","","","","","","","370.86","","","","","","","","","","","","","371",
"33","????????","03_11_02_P","5050000","CDFI3261092010000015","2010-12-09","","03","???","03","???","2017-09-07","","","","054-744-9090","","","????? ????? ?????? 531-3????","????? ????? ????????4?? 27 (??????)","38175","KB???","2017-09-08 09:16:07","I","2018-08-31 23:59:59","","403688.560766357","261468.292085399","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"34","????????","03_11_02_P","5050000","CDFI3261092010000016","2010-12-28","","03","???","03","???","2017-08-28","","","","054-777-5266","","","????? ????? ??? 254-2????","????? ????? ?????????? 14-17 (???)","38126","?©™?????≤J","2017-08-29 09:44:31","I","2018-08-31 23:59:59","","408279.667836708","258696.388605511","????????","","","3","???","","","","","","","","","","","","","","","","","144.22","","","","","","","","","","","","","144",
"35","????????","03_11_02_P","5050000","CDFI3261092011000001","2011-01-18","","03","???","03","???","2014-12-17","","","","","","780-852","????? ????? ?????? ???? 416????","","","??????","2014-12-18 08:52:47","I","2018-08-31 23:59:59","","393790.294864412","250671.832925319","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"36","????????","03_11_02_P","5050000","CDFI3261092011000002","2011-03-08","","03","???","03","???","2017-09-06","","","","","","","????? ????? ?????? 17????","????? ????? ????? 85-11 (??????)","38128","??????","2017-09-06 17:23:44","I","2018-08-31 23:59:59","","408392.277511075","256980.76165912","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"37","????????","03_11_02_P","5050000","CDFI3261092011000003","2011-04-20","","03","???","03","???","2017-09-08","","","","742-2432","","","????? ????? ????? ??? 816-1????","????? ????? ????? ??????? 47-9","38210","??????","2017-09-08 16:09:55","I","2018-08-31 23:59:59","","409835.46138166","255117.961405176","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"38","????????","03_11_02_P","5050000","CDFI3261092011000004","2011-06-09","","03","???","03","???","2015-02-25","","","","054-771-0755","","780-270","????? ????? ????? 862-14????","","","??ƒ©??","2015-02-26 09:02:45","I","2018-08-31 23:59:59","","406786.938674158","259951.381956206","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000000000","","","","",
"39","????????","03_11_02_P","5050000","CDFI3261092011000005","2011-08-31","","03","???","03","???","2015-03-16","","","","","","780-843","????? ????? ???? ??ïó 461-1????","","","?????","2015-03-16 18:10:52","I","2018-08-31 23:59:59","","416956.137241819","245784.926638769","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"40","????????","03_11_02_P","5050000","CDFI3261092006000001","2006-10-17","","03","???","03","???","2017-09-06","","","","742-2207","","","????? ????? ??? 502-3????","????? ????? ???????? 63 (???)","38126","??????????","2017-09-07 10:59:37","I","2018-08-31 23:59:59","","408736.092970591","258402.497825072","????????","???????","","3","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",
"41","????????","03_11_02_P","5050000","CDFI3261092009000001","2009-06-17","","03","???","03","???","2017-09-15","","","","774-7563","","","????? ????? ?????? ??? 115-4????","????? ????? ?????? ????? 210","38198","??????????","2017-09-14 17:15:16","I","2018-08-31 23:59:59","","403121.231268946","252487.710414983","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"42","????????","03_11_02_P","5050000","CDFI3261092010000001","2010-02-23","","03","???","03","???","2017-09-14","","","","772-5959","","","????? ????? ??? 193????","????? ????? ????? 204-8 (???)","38126","°¿??????????","2017-09-14 15:44:39","I","2018-08-31 23:59:59","","409018.581433475","258361.301146671","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"43","????????","03_11_02_P","5050000","CDFI3261092010000002","2010-02-23","","03","???","03","???","2017-08-25","","","","745-0350","","","????? ????? ??? 748-10????","????? ????? ???1?? 42 (???)","38126","???????? ???????","2017-08-28 09:03:32","I","2018-08-31 23:59:59","","408726.260707628","257458.40803056","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"44","????????","03_11_02_P","5050000","CDFI3261092010000003","2010-02-23","","03","???","03","???","2017-06-16","","","","772-7728","","","????? ????? ??? 253-1????","????? ????? ?????????? 14-13 (???)","38126","??????? ???????","2017-06-19 13:31:29","I","2018-08-31 23:59:59","","408319.564862675","258706.216953972","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"45","????????","03_11_02_P","5050000","CDFI3261092010000004","2010-06-07","","03","???","03","???","2017-09-08","","","","","","","????? ????? ??îΩ 25-1????","????? ????? ????? 232-4 (??îΩ)","38115","?????? ???","2017-09-08 17:05:51","I","2018-08-31 23:59:59","","414018.538391522","261066.394175377","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","????????","03_11_02_P","5050000","CDFI3261092010000005","2010-06-07","","03","???","03","???","2017-09-08","","","","","","","????? ????? ??? 654????","????? ????? ????? 126-72 (???)","38126","????? ???","2017-09-08 17:14:26","I","2018-08-31 23:59:59","","409227.529595786","257502.489124555","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"47","????????","03_11_02_P","5050000","CDFI3261092010000006","2010-06-07","","03","???","03","???","2017-09-08","","","","","","","????? ????? ?????? 449????","????? ????? ????? 37-4 (??????)","38127","?????? ???","2017-09-08 16:54:05","I","2018-08-31 23:59:59","","410626.41544136","256049.393913225","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"48","????????","03_11_02_P","5050000","CDFI3261092010000007","2010-06-07","","03","???","03","???","2016-09-26","","","","","","","????? ????? ??? 253????","????? ????? ?????????? 14-22 (???)","38126","??????? ???","2016-09-27 10:08:20","I","2018-08-31 23:59:59","","408330.941399881","258738.185932572","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"49","????????","03_11_02_P","5050000","CDFI3261092010000008","2010-06-07","","03","???","03","???","2012-01-17","","","","741-5353","","780-270","????? ????? ????? 449????","????? ????? ???? 504-24 (?????)","780-270","??????? ???","2012-01-17 16:56:29","I","2018-08-31 23:59:59","","405776.882588418","261613.267397809","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"50","????????","03_11_02_P","5050000","CDFI3261092010000009","2010-08-10","","03","???","03","???","2017-08-02","","","","054-741-6469","","","????? ????? ??? 124-3????","????? ????? ????? 190-9 (???)","38126","??????","2017-08-02 11:20:30","I","2018-08-31 23:59:59","","409166.001423945","258114.214547807","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"51","????????","03_11_02_P","5050000","CDFI3261092010000010","2010-10-09","","03","???","03","???","2017-09-08","","","","","","","????? ????? ????? 1444-2????","????? ????? ???1?? 22-2 (?????)","38118","?????????","2017-09-08 16:44:23","I","2018-08-31 23:59:59","","405670.891122078","261540.236733798","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"52","????????","03_11_02_P","5050000","CDFI3261092010000011","2010-10-09","","03","???","03","???","2017-09-08","","","","","","","????? ????? ????? 1444-6????","????? ????? ???1?? 22-1 (?????)","38118","???????????","2017-09-08 16:41:42","I","2018-08-31 23:59:59","","405691.324719161","261528.233819743","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"53","????????","03_11_02_P","5050000","CDFI3261092010000012","2010-10-09","","03","???","03","???","2017-09-08","","","","","","","????? ????? ????? 1444-6????","????? ????? ???1?? 22-1 (?????)","38118","????????????","2017-09-08 16:43:17","I","2018-08-31 23:59:59","","405691.324719161","261528.233819743","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"54","????????","03_11_02_P","5050000","CDFI3261092011000006","2011-11-24","","03","???","03","???","2015-03-02","","","","","","780-420","????? ????? ?????? 292-5????","????? ????? ????? 49-37 (??????)","780-420","???? ?ì?? ???","2015-03-04 10:14:00","I","2018-08-31 23:59:59","","408062.668412314","256575.15460933","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"55","????????","03_11_02_P","5050000","CDFI3261092012000001","2012-01-09","","03","???","03","???","2013-05-22","","","","","","780-410","????? ????? ???? 507????","????? ????? ?????? 56 (????)","780-410","??????? ???","2013-05-22 14:42:46","I","2018-08-31 23:59:59","","409337.45532518","256078.435255847","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"56","????????","03_11_02_P","5050000","CDFI3261092010000013","2010-10-29","","03","???","03","???","2016-12-27","","","","","","","????? ????? ??? 115-3????","????? ????? ????? 174-29 (???)","38126","??????","2016-12-27 11:32:48","I","2018-08-31 23:59:59","","409240.611222934","258100.552414652","????????","","","","","","","","","","","","Sky Lake Tourism Pension","Tourism Pension","","","","","","","","","","","","","","","","","","","","","",
"57","????????","03_11_02_P","5050000","CDFI3261092010000014","2010-11-08","","03","???","03","???","2015-12-04","","","","741-7973","","780-844","????? ????? ???? ????? 342-4????","","","?????????","2016-01-04 11:30:33","I","2018-08-31 23:59:59","","423907.904080036","246026.258678835","????????","","","","","","","","","","","","Sealandscape Tour Pension","Tourism Pension","","","","","","","","","","","","","","","","","","","","","",
"58","????????","03_11_02_P","5050000","CDFI3261092012000003","2012-10-11","","03","???","03","???","2017-09-06","","","","054-777-2001","","780-410","????? ????? ???? 182-16????","????? ????? ????1?? 13-14 (????)","38126","????","2017-09-06 17:24:16","I","2018-08-31 23:59:59","","408534.470134588","256761.921847006","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"59","????????","03_11_02_P","5050000","CDFI3261092012000005","2012-10-25","","03","???","03","???","2017-09-07","","","","774-3966","","780-430","????? ????? ??? 256-2????","????? ????? ?????????? 14-16 (???)","38126","???????????","2017-09-08 09:13:23","I","2018-08-31 23:59:59","","408350.400866154","258801.375392305","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"60","????????","03_11_02_P","5050000","CDFI3261092012000006","2012-11-06","","03","???","03","???","2017-09-13","","","","","","780-843","????? ????? ???? ????? 83????","????? ????? ???? ???? 225-14","38220","?????","2017-09-14 09:14:30","I","2018-08-31 23:59:59","","422841.172398266","243648.493708366","????????","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"61","????????","03_11_02_P","5050000","CDFI3261092013000002","2013-10-08","","03","???","03","???","2017-09-06","","","","","","780-430","????? ????? ??? 740-6????","????? ????? ???1?? 23 (???)","38126","??? ??????","2017-09-06 17:23:08","I","2018-08-31 23:59:59","","408875.014541678","257502.015904929","????????","","???????????","2","","","","???????","2","","","","","","","","","","","","","229.82","","","","","","","","","","","","","230",
"62","????????","03_11_02_P","5050000","CDFI3261092013000003","2013-11-14","","03","???","03","???","2017-09-08","","","","","","780-430","????? ????? ??? 83-13????","????? ????? ????? 126-45 (???)","38126","????????? ???","2017-09-08 16:10:07","I","2018-08-31 23:59:59","","409473.615849453","257559.054533464","????????","","????????????","2","","","","???????","2","","","","","","","","","","","","","218.6","","","","","","","","","","","","","219",
"63","????????","03_11_02_P","5050000","CDFI3261092014000002","2014-06-18","","03","???","03","???","2015-12-02","","","","0547438389","","780-400","????? ????? ??????","????? ????? ????? 11 (??????)","38127","?????????","2015-12-03 17:56:29","I","2018-08-31 23:59:59","","410404.75717174","256075.384598108","????????","","???????","2","???©£????","","","???????","2","0","","","","","","","","","","","","85.08","","","","","","","","","650000000","","","","85",
"64","????????","03_11_02_P","5050000","CDFI3261092014000003","2014-06-18","","03","???","03","???","2015-02-17","","","","0547776104","","780-430","????? ????? ???","????? ????? ????? 190-11 (???)","780-430","?•È?°∆??????","2015-02-25 09:28:12","I","2018-08-31 23:59:59","","409185.669517018","258105.673518481","????????","","???????????","2","???","","","???????","2","0","","","","","","","","","","","","104.82","","","","","","","","","10000000","","","","105",
"65","????????","03_11_02_P","5050000","CDFI3261092014000004","2014-07-16","","03","???","03","???","2017-09-04","","","","0547466428","","780-430","????? ????? ???","????? ????? ?????????? 14-24 (???)","38126","???????","2017-09-04 15:37:11","I","2018-08-31 23:59:59","","408305.010579512","258741.851601359","????????","","????????????","2","???","","","???????","2","0","","","","","","","","","","","","131.75","","","","","","","","","","","","","132",
"66","????????","03_11_02_P","5260000","CDFI3261092014000001","2014-03-07","","03","???","03","???","2015-07-24","","","","","","799-803","????? ???? ???? ?œΩ?? 383-18????","????? ???? ???? ?œΩ2?? 190","799-803","?????????","2015-07-23 16:47:08","I","2018-08-31 23:59:59","","543749.298689244","449618.789409191","????????","","????????","3","???","","","??????","3","","","","Ulleung Tourism Pension","Tourism Pension","","","","","","","","245.79","","","","","","","","","","","","","246",
"67","????????","03_11_02_P","5150000","CDFI3261092011000001","2011-06-13","","03","???","03","???","2017-09-15","","","","","","769-972","????? ????? ???•Ë? ?????? 326-1????","????? ????? ???•Ë? ????? 540-47","","???????","2017-09-15 08:56:55","I","2018-08-31 23:59:59","","325948.26791734","329150.984988216","????????","","????????","","???","","","???????","2","","","","","","","","","","","","","","","","","","","","","","","","","","",
"68","????????","03_11_02_P","5160000","CDFI3261092014000001","2014-03-21","","03","???","03","???","2016-04-07","","","","054-873-9905","","763-833","????? ???? ?•Â??? ????? 220-1????","????? ???? ?•Â??? ????? 629-42","37437","????•Ê?","2016-04-08 10:26:39","I","2018-08-31 23:59:59","","390520.164990068","322415.428862151","????????","","????????","2","???","","","???????","2","","","","","","","","","","","","","228.68","","","","","","","","","","","","","229",
